,Password,Type,Threshold,Random Guess,Guess
0,maworera,WithThreshold,100,116956,153122
1,maworera,Without,100,116956,196705
2,maworera,WithThreshold,125,116956,120530
3,maworera,Without,125,116956,479116
4,maworera,WithThreshold,150,116956,96763
5,maworera,Without,150,116956,19425
6,maworera,WithThreshold,175,116956,103556
7,maworera,Without,175,116956,313552
8,maworera,WithThreshold,200,116956,267653
9,maworera,Without,200,116956,211921
10,maworera,WithThreshold,225,116956,114563
11,maworera,Without,225,116956,176428
12,maworera,WithThreshold,250,116956,73596
13,maworera,Without,250,116956,444633
14,maworera,WithThreshold,275,116956,29367
15,maworera,Without,275,116956,117071
16,maworera,WithThreshold,300,116956,63490
17,maworera,Without,300,116956,102720
18,maworera,WithThreshold,325,116956,287120
19,maworera,Without,325,116956,220605
